,pytorch-qr,pytorch-qrcp,pytorch-svd,pytorch-svddc,sklearn-svddc,tf-cod,tf-necd
10,571170.9,8789374.9,641786.9,609074.5,5055651.5,531621.4,9123951.8
31,471125.3,518714.7,519715.2,535799.5,1535909.2,417088.8,1008270.3
100,476165.6,572675.9,546573.7,510512.7,1604810.7,471552.0,952481.9
316,490516.3,554749.6,552327.8,547609.3,1605723.3,543452.3,972344.3
1000,535655.1,511063.1,624982.5,614833.6,1733194.5,813102.0,1037887.4
3162,639102.0,672673.5,708710.3,3752631.9,2149583.6,1462492.2,1149633.7
10000,1072103.2,1103546.2,1151141.5,1172777.5,3606836.1,4276650.9,1594998.1
31622,2900233.5,2493751.1,2815724.9,2824515.8,8560868.1,11998418.2,3562934.8
100000,8090976.3,7025731.9,7627152.4,7700516.2,22930002.4,36092590.5,13697674.6
316227,24754233.0,26498797.6,25072404.4,24843265.4,68634075.0,126839746.4,37048778.3
1000000,106025172.4,117504462.3,122530810.5,112232222.1,327996638.7,624652895.7,130578479.8
3162277,381256825.5,418707702.8,381704429.7,381079232.0,1115628265.5,2014844095.6,358390097.4
10000000,1306148736.5,1401348732.9,1295310965.8,1302347634.9,3745850797.0,6211763869.2,1070760962.5
31622776,4108885818.5,4415045642.2,4076591035.3,4101572002.6,11791421844.8,19844373129.0,3349477555.7
100000000,13039020999.6,13839662326.2,12942965511.6,13032115300.1,37315078497.4,63657971451.6,10606941808.9
316227766,40991094201.7,43476974154.2,40780676050.8,41021426227.6,135300008812.3,274031257246.6,37149586019.0
