,pytorch-qr,pytorch-qrcp,pytorch-svd,pytorch-svddc,sklearn-svddc,tf-cod,tf-necd
10,1352550.0,73436394.0,1839566.0,1019968.0,29895672.0,1676653.0,76881505.0
15,467393.0,468439.0,580844.0,463678.0,1802193.0,409719.0,916983.0
25,463622.0,1058864.0,526739.0,526549.0,1718738.0,513229.0,900651.0
39,453137.0,949907.0,548517.0,527541.0,1505686.0,454376.0,901801.0
63,439054.0,537679.0,547790.0,487298.0,2080169.0,463256.0,856437.0
100,428975.0,474765.0,542333.0,507731.0,1548909.0,466551.0,844623.0
158,476150.0,470684.0,550449.0,494596.0,1524140.0,500452.0,814953.0
251,672388.0,1010232.0,636488.0,558278.0,1762859.0,512651.0,868085.0
398,442520.0,516443.0,560803.0,498016.0,1599641.0,553996.0,900431.0
630,468264.0,497798.0,589610.0,526796.0,1633667.0,722608.0,924259.0
1000,474951.0,583692.0,611938.0,541225.0,1714863.0,811834.0,968100.0
1584,506794.0,567303.0,629483.0,610542.0,1813811.0,985175.0,985700.0
2511,548645.0,626182.0,727374.0,615166.0,2026504.0,1312243.0,1038847.0
3981,600238.0,763197.0,752353.0,683644.0,2352953.0,1965574.0,1150245.0
6309,768044.0,910821.0,967694.0,790908.0,3040271.0,3216092.0,1287386.0
10000,1025042.0,1569884.0,1246094.0,1088316.0,6265891.0,4295617.0,1592638.0
15848,1363962.0,1890771.0,1752500.0,1438477.0,5199364.0,6505693.0,2062780.0
25118,1981874.0,2660890.0,2441414.0,2079024.0,7132926.0,10810991.0,3425636.0
39810,3558143.0,4407594.0,3632332.0,3073400.0,11622679.0,17158783.0,4926950.0
63095,5431610.0,6196307.0,5468856.0,4574601.0,14697752.0,24726991.0,7610583.0
100000,8273313.0,10443519.0,8348489.0,7137133.0,23294712.0,36183661.0,13461191.0
158489,12213175.0,13929642.0,11981434.0,9791897.0,37198240.0,59256989.0,20054853.0
251188,18533394.0,24122987.0,20728399.0,16656160.0,63870539.0,100696294.0,30582499.0
398107,27798812.0,37481484.0,32251920.0,27633653.0,114595516.0,229307706.0,49508926.0
630957,48130967.0,66833643.0,55467927.0,46373507.0,232592733.0,426544485.0,77850392.0
1000000,102834308.0,120257308.0,114906734.0,97276840.0,364708142.0,624871420.0,116074161.0
1584893,192216703.0,230505792.0,217312949.0,189848605.0,532301051.0,991260885.0,182486950.0
2511886,315616921.0,311488352.0,333791838.0,307844097.0,882229242.0,1607344026.0,272797580.0
3981071,511314944.0,536354804.0,487868944.0,502623230.0,1417930345.0,2550963101.0,462217181.0
6309573,842394902.0,844118399.0,796976603.0,809450119.0,2278694983.0,3965535636.0,738779787.0
10000000,1352906980.0,1401908479.0,1278286627.0,1319667858.0,3695989067.0,6194168577.0,1148077957.0
15848931,2143429477.0,2159907369.0,2078129521.0,2100098596.0,5889608210.0,10067651920.0,1810772691.0
25118864,3405443022.0,3419305539.0,3222966236.0,3321669588.0,9331243943.0,15746872930.0,2898181431.0
39810717,5397195815.0,5467173945.0,5105619956.0,5257666730.0,14801170324.0,25318299185.0,4588418548.0
63095734,8542677216.0,8551030223.0,8049778733.0,8294170486.0,23825818210.0,40114632626.0,6762143927.0
100000000,13558421851.0,13897475375.0,12857483002.0,13191936911.0,37926353032.0,64103369438.0,10911520331.0
158489319,21547695997.0,22247276269.0,20409453269.0,20827352679.0,62588818695.0,104426382052.0,18218432971.0
251188643,32623499766.0,34836194342.0,32905462436.0,33141445511.0,132894572761.0,169152320795.0,32760918393.0
398107170,53573543011.0,59223235273.0,54317009872.0,55934674605.0,248922359235.0,373680124069.0,55378470649.0
630957344,93609084932.0,99981245389.0,96579405755.0,104597099607.0,484457038537.0,854548969321.0,96321230554.0
