,tf-necd,tf-cod,pytorch-qrcp,pytorch-qr,pytorch-svd,pytorch-svddc,sklearn-svddc
10,5785.0,6571.0,5472.0,5046.0,5204.0,10692.0,10104.0
15,7447.0,7603.0,7112.0,5986.0,5600.0,11092.0,12184.0
25,10423.0,9963.0,7912.0,6786.0,6400.0,11892.0,13824.0
39,14359.0,13099.0,9032.0,7906.0,7696.0,13012.0,15952.0
63,20759.0,17971.0,10952.0,9826.0,9972.0,14932.0,19600.0
100,31143.0,25963.0,13912.0,12786.0,12932.0,17892.0,25224.0
158,35983.0,39755.0,18552.0,17426.0,17572.0,22532.0,37832.0
251,65431.0,60587.0,25992.0,24866.0,25012.0,29972.0,54200.0
398,114567.0,93515.0,37752.0,36626.0,36772.0,41732.0,80072.0
630,139911.0,145483.0,56312.0,55186.0,55332.0,60292.0,120904.0
1000,219687.0,228363.0,85912.0,84786.0,84932.0,89892.0,186024.0
1584,288807.0,359179.0,132632.0,131506.0,131652.0,136612.0,288808.0
2511,437271.0,566827.0,206792.0,205666.0,205812.0,210772.0,451960.0
3981,362311.0,896107.0,324392.0,323266.0,323412.0,328372.0,710680.0
6309,981879.0,1417579.0,510632.0,509506.0,509652.0,514612.0,1120408.0
10000,1515687.0,2244363.0,805912.0,804786.0,804932.0,809892.0,1770024.0
15848,2356647.0,3554315.0,1273752.0,1272626.0,1272772.0,1277732.0,2799272.0
25118,3692679.0,5630795.0,2015352.0,2014226.0,2014372.0,2019332.0,4430792.0
39810,5808327.0,8921803.0,3190712.0,3189586.0,3189732.0,3194692.0,7016584.0
63095,9161367.0,14137643.0,5053512.0,5052386.0,5052532.0,5057492.0,11114744.0
100000,8805041.0,22404363.0,8005912.0,8004786.0,8004932.0,8009892.0,17610024.0
158489,13952073.0,35505899.0,12685032.0,12683906.0,12684052.0,12689012.0,27904088.0
251188,36246759.0,56270475.0,20100952.0,20099826.0,20099972.0,20104932.0,44219112.0
398107,57403095.0,89180331.0,31854472.0,31853346.0,31853492.0,31858452.0,70076856.0
630957,90933495.0,141338731.0,50482472.0,50481346.0,50481492.0,50486452.0,111058456.0
1000000,144075687.0,224004363.0,80005912.0,80004786.0,80004932.0,80009892.0,176010024.0
1584893,228300279.0,355020395.0,126797352.0,126796226.0,126796372.0,126801332.0,278951192.0
2511886,361787271.0,562666827.0,200956792.0,200955666.0,200955812.0,200960772.0,442101960.0
3981071,573349911.0,891764267.0,318491592.0,318490466.0,318490612.0,318495572.0,700678520.0
6309573,908654199.0,1413348715.0,504771752.0,504770626.0,504770772.0,504775732.0,1110494872.0
10000000,1440075687.0,2240004363.0,800005912.0,800004786.0,800004932.0,800009892.0,1760010024.0
15848931,2282321751.0,3550164907.0,1267920392.0,1267919266.0,1267919412.0,1267924372.0,2789421880.0
25118864,3617192103.0,5626629899.0,2009515032.0,2009513906.0,2009514052.0,2009519012.0,4420930088.0
39810717,5732818935.0,8917604971.0,3184863272.0,3184862146.0,3184862292.0,3184867252.0,7006696216.0
63095734,9085861383.0,14133448779.0,5047664632.0,5047663506.0,5047663652.0,5047668612.0,11104859208.0
100000000,14400075687.0,22400004363.0,8000005912.0,8000004786.0,8000004932.0,8000009892.0,17600010024.0
158489319,22822537623.0,35501611819.0,12679151432.0,12679150306.0,12679150452.0,12679155412.0,27894130168.0
251188643,36171240279.0,56266260395.0,20095097352.0,20095096226.0,20095096372.0,20095101332.0,44209211192.0
398107170,57327508182.0,89176010443.0,31848579512.0,31848578386.0,31848578532.0,31848583492.0,70066871944.0
630957344,90857933238.0,141334449419.0,50476593432.0,50476592306.0,50476592452.0,50476597412.0,111048502568.0
