,pytorch-qr,pytorch-qrcp,pytorch-svd,pytorch-svddc,sklearn-svddc,tf-cod,tf-necd
10,1774.2323040901706,1774.2323040901706,15972.083757750976,1331.006979812581,1331.006979812581,886.4506485551791,2662.013959625162
15,3105.239283902752,3105.239283902752,18634.097717376135,1996.510469718872,1996.510469718872,1551.9541384614697,3327.517449531453
25,5767.2532435279145,5767.2532435279145,23958.12563662646,3327.517449531453,3327.517449531453,2882.961118274051,4658.524429344034
39,9494.07278700314,9494.07278700314,31411.76472357692,5190.927221269067,5190.927221269067,4746.370890011664,6521.934201081648
63,15882.906290103532,15882.906290103532,44189.431729777694,8385.343972819262,8385.343972819262,7940.78764156186,9716.350952631843
100,25732.35794071663,25732.35794071663,63888.3350310039,13310.069798125813,13310.069798125813,12865.51346686841,14641.076777938393
158,41172.03890654257,41172.03890654257,94767.69696265578,21029.91028103878,21029.91028103878,20585.35394978138,22360.917260851365
251,65928.76873105658,65928.76873105658,144281.1566116838,33408.27519329578,33408.27519329578,32963.71886203839,34739.28217310837
398,105060.37393754646,105060.37393754646,222544.36702466357,52974.07779654073,52974.07779654073,52529.52146528333,54305.08477635332
630,166819.09780085023,166819.09780085023,346061.8147512711,83853.4397281926,83853.4397281926,83408.88339693521,85184.44670800518
1000,265313.61430698127,265313.61430698127,543050.8477635331,133100.69798125813,133100.69798125813,132656.14165000073,134431.7049610707
1584,420775.2295490908,420775.2295490908,853974.078247752,210831.50560231286,210831.50560231286,210386.94927105546,212162.51258212543
2511,667543.9236063433,667543.9236063433,1347511.4663622573,334215.8526309391,334215.8526309391,333771.2962996817,335546.85961075174
3981,1058859.9756712422,1058859.9756712422,2130143.570492055,529873.8786633885,529873.8786633885,529429.3223321312,531204.8856432012
6309,1678576.82547198,1678576.82547198,3369577.2700935304,839732.3035637575,839732.3035637575,839287.7472325,841063.3105435701
10000,2661126.177969627,2661126.177969627,5334675.975088825,1331006.979812581,1331006.979812581,1330562.423481324,1332337.9867923937
15848,4217871.9415584225,4217871.9415584225,8448167.502266414,2109379.861606979,2109379.861606979,2108935.3052757215,2110710.868586791
25118,6685558.882130948,6685558.882130948,13383541.383411467,3343223.3318932415,3343223.3318932415,3342778.775561984,3344554.3388730544
39810,10596589.791612236,10596589.791612236,21205603.202374045,5298738.786633886,5298738.786633886,5298294.230302628,5300069.793613698
63095,16795089.296599425,16795089.296599425,33602602.212348424,8397988.539127482,8397988.539127482,8397543.982796224,8399319.546107294
100000,26619251.81459609,26619251.81459609,53250927.24834175,13310069.79812581,13310069.79812581,13309625.241794555,13311400.805105625
158489,42189105.2630477,42189105.2630477,84390634.14524499,21094996.522351615,21094996.522351615,21094551.96602036,21096327.52933143
251188,66865708.46737699,66865708.46737699,133743840.55390355,33433298.124516264,33433298.124516264,33432853.568185005,33434629.13149608
398107,105975751.36079392,105975751.36079392,211963926.3407374,52988319.57122473,52988319.57122473,52987875.014893465,52989650.57820454
630957,167960746.41066584,167960746.41066584,335933916.4404812,83980817.09616067,83980817.09616067,83980372.53982943,83982148.10314049
1000000,266200508.1808607,266200508.1808607,532413439.98087096,133100697.98125812,133100697.98125812,133100253.42492686,133102028.98823793
1584893,421899841.26956475,421899841.26956475,843812106.1582791,210950364.52561015,210950364.52561015,210949919.96927887,210951695.53258994
2511886,668666671.9170456,668666671.9170456,1337345767.4532406,334333779.8493505,334333779.8493505,334333335.29301924,334335110.85633034
3981071,1059765769.844235,1059765769.844235,2119543963.3076193,529883328.81294525,529883328.81294525,529882884.25661397,529884659.81992507
6309573,1679616252.745746,1679616252.745746,3359244929.1106415,839808570.2637008,839808570.2637008,839808125.7073694,839809901.2706805
10000000,2662013071.843507,2662013071.843507,5324038567.306163,1331006979.8125813,1331006979.8125813,1331006535.25625,1331008310.819561
15848931,4219006668.931943,4219006668.931943,8438025761.483036,2109503778.3567994,2109503778.3567994,2109503333.800468,2109505109.363779
25118864,6686675774.01094,6686675774.01094,13373363971.641027,3343338330.896297,3343338330.896297,3343337886.339966,3343339661.903277
39810717,10597667551.88702,10597667551.88702,21195347527.393192,5298834219.834338,5298834219.834338,5298833775.278007,5298835550.841317
63095734,16796171582.297943,16796171582.297943,33592355588.21504,8398086235.039799,8398086235.039799,8398085790.483468,8398087566.046779
100000000,26620138708.469967,26620138708.469967,53240289840.55909,13310069798.125813,13310069798.125813,13310069353.56948,13310071129.132792
158489319,42190077075.16689,42190077075.16689,84380166573.95293,21095038981.474274,21095038981.474274,21095038536.917942,21095040312.48125
251188643,66866766528.74848,66866766528.74848,133733545481.1161,33433383708.265064,33433383708.265064,33433383263.708736,33433385039.272045
398107170,105976683508.90512,105976683508.90512,211953379441.42938,52988342198.34338,52988342198.34338,52988341753.787056,52988343529.350365
630957344,167961724877.81992,167961724877.81992,335923462179.25903,83980862882.80078,83980862882.80078,83980862438.24446,83980864213.80777
