,pytorch-qr,pytorch-qrcp,pytorch-svd,pytorch-svddc,sklearn-svddc,tf-cod,tf-necd
10,277800.0,28536200.0,310600.0,303700.0,4406300.0,516500.0,2841200.0
31,253900.0,309700.0,309200.0,298600.0,888800.0,475000.0,722200.0
100,1278200.0,1435100.0,1524400.0,1471900.0,915100.0,399000.0,711400.0
316,1282900.0,1535000.0,1438300.0,1547300.0,1003300.0,490800.0,733900.0
1000,1692000.0,2142700.0,1767000.0,2089200.0,1051200.0,678100.0,769300.0
3162,1957300.0,1845300.0,2082900.0,2038000.0,5493400.0,1215200.0,1240900.0
10000,3580500.0,3308400.0,3481600.0,3875400.0,11434400.0,2695300.0,1801800.0
31622,5186900.0,7979600.0,5861700.0,6146400.0,26474600.0,8356400.0,3426400.0
100000,14593400.0,21202600.0,14698700.0,15037300.0,89423100.0,32580000.0,9179100.0
316227,48956200.0,80413600.0,49947100.0,49018300.0,278416700.0,113410900.0,24227400.0
1000000,197709700.0,269088300.0,201445200.0,198293600.0,928739500.0,396338200.0,80072500.0
3162277,655949300.0,948297400.0,654921800.0,657125500.0,1845436300.0,1302786900.0,260007500.0
10000000,2058755600.0,2697212000.0,2091027900.0,2094182800.0,5292763500.0,4442297200.0,1010163200.0
31622776,6599747000.0,7653382300.0,6462977800.0,6592128100.0,15706526400.0,14217649600.0,3154286600.0
100000000,18186314100.0,19009323100.0,17238778900.0,18561928000.0,51671932600.0,59248973300.0,10020570700.0
