,pytorch-qr,pytorch-qrcp,pytorch-svd,pytorch-svddc,sklearn-svddc,tf-cod,tf-necd
10,1066.3999999999999,1066.3999999999999,9600.0,800.0,800.0,532.8,1600.0
31,4426.4,4426.4,16320.0,2480.0,2480.0,2212.8,3280.0000000000005
100,15466.4,15466.4,38400.0,8000.0,8000.0,7732.8,8800.0
316,50026.399999999994,50026.399999999994,107520.0,25280.000000000004,25280.000000000004,25012.8,26080.0
1000,159466.4,159466.4,326400.0,80000.0,80000.0,79732.8,80800.0
3162,505386.4,505386.4,1018240.0000000001,252960.0,252960.0,252692.80000000002,253760.0
10000,1599466.4,1599466.4,3206400.0,800000.0000000001,800000.0000000001,799732.7999999999,800800.0
31622,5058986.4,5058986.4,10125440.0,2529760.0000000005,2529760.0000000005,2529492.8,2530560.0
100000,15999466.399999999,15999466.399999999,32006400.0,8000000.0,8000000.0,7999732.8,8000800.0
316227,50595786.400000006,50595786.400000006,101199040.00000001,25298160.0,25298160.0,25297892.8,25298959.999999996
1000000,159999466.39999998,159999466.39999998,320006399.99999994,80000000.0,80000000.0,79999732.8,80000800.0
3162277,505963786.40000004,505963786.40000004,1011935040.0,252982159.99999997,252982159.99999997,252981892.8,252982960.0
10000000,1599999466.4,1599999466.4,3200006400.0,800000000.0,800000000.0,799999732.8,800000800.0
31622776,5059643626.4,5059643626.4,10119294720.0,2529822080.0,2529822080.0,2529821812.8,2529822880.0
100000000,15999999466.4,15999999466.4,32000006400.0,8000000000.0,8000000000.0,7999999732.8,8000000800.0
