,tf-necd,tf-cod,pytorch-qrcp,pytorch-qr,pytorch-svd,pytorch-svddc,sklearn-svddc
10,5715.2,6522.4,5364.0,4940.0,5096.0,10584.0,10032.0
31,9752.0,11220.0,8284.0,7160.0,6772.0,12264.0,14512.8
100,23872.0,26676.0,13804.0,12680.0,45204.0,17784.0,24504.0
316,68800.0,75060.0,31084.0,29960.0,62484.0,35064.0,65640.0
1000,147616.0,228276.0,85804.0,84680.0,117204.0,89784.0,186024.0
3162,312207.2,712564.0,258764.0,257640.0,290164.0,262744.0,566536.0
10000,854063.2,2244276.0,805804.0,804680.0,837204.0,809784.0,1770024.0
31622,2534664.0,7087604.0,2535564.0,2534440.0,2566964.0,2539544.0,5575496.0
100000,8004904.0,22404276.0,8005804.0,8004680.0,8037204.0,8009784.0,17610024.0
316227,25303064.0,70839124.0,25303964.0,25302840.0,25335364.0,25307944.0,55665976.0
1000000,80004904.0,224004276.0,80005804.0,80004680.0,80037204.0,80009784.0,176010142.4
3162277,252987064.0,708354324.0,252987964.0,252986840.0,253019364.0,252991944.0,556570776.0
10000000,800004984.0,2240004276.0,800005804.0,800004680.0,800037204.0,800009784.0,1760010107.2
31622776,2529826984.0,7083506100.0,2529827884.0,2529826760.0,2529859284.0,2529831864.0,5565618600.0
100000000,8000004904.0,22400004276.0,8000005804.0,8000004680.0,8000037204.0,8000009784.0,17600010024.0
