,pytorch-qr,pytorch-qrcp,pytorch-svd,pytorch-svddc,sklearn-svddc,tf-cod,tf-necd
10,420769.8,3996370.8,564496.9,961814.0,2896883.5,733551.0,4054513.1
31,340556.9,364549.1,382512.7,396064.8,939393.3,315394.0,574235.6
100,356526.9,403149.9,384810.8,405504.9,1086638.6,328494.8,568472.6
316,348606.7,385153.4,395247.9,415558.5,962679.4,356718.9,576862.9
1000,373437.7,374110.9,416506.7,434466.7,1019594.5,442150.9,608108.7
3162,428230.7,452401.0,477696.8,497409.9,1214718.4,822812.3,680585.9
10000,663926.7,720017.0,681083.7,698613.7,1954021.2,1829057.9,957960.7
31622,1403934.6,1593570.5,1389872.4,1443854.1,3787795.4,4970250.9,1813333.5
100000,3550642.8,3849959.6,3398650.4,3536329.3,11282878.5,15606524.0,6702058.5
316227,11817954.2,13271848.5,11729825.3,11654658.0,50993752.5,97770490.2,18340231.6
1000000,60295693.6,64038923.2,60363017.2,60361381.3,198403326.6,348966120.7,74646325.2
3162277,210174951.6,229306137.9,211072000.4,210598772.8,668014030.1,1168825133.2,236008235.9
10000000,750175189.8,834783826.1,738807117.2,741289923.2,2145785847.2,3983837949.3,759358894.7
31622776,2667246729.5,2897131885.8,2568320083.7,2588296376.4,6931745727.4,13340768083.7,2414844559.9
100000000,8466698370.2,8991294093.1,8974243736.5,9001975994.1,23028820432.8,43425056788.4,7631433735.8
316227766,28376192141.6,30399364039.5,28384099141.9,28610928342.6,71027197068.1,157512692349.3,24180058103.4
1000000000,91116327422.5,100164219748.7,91747932086.3,91761323090.2,250507100779.7,687569090721.8,88077922484.4
