,tf-necd,tf-cod,pytorch-qrcp,pytorch-qr,pytorch-svd,pytorch-svddc,sklearn-svddc
10,5844.2,6607.8,5472.0,5046.0,5204.0,10692.0,10032.0
31,11607.0,11307.0,8392.0,7266.0,6880.0,12372.0,14512.8
100,30422.2,26763.0,13912.0,12786.0,12932.0,17892.0,24504.0
316,80243.0,75147.0,31192.0,30066.0,30212.0,35172.0,65640.0
1000,198084.6,228363.0,85912.0,84786.0,84932.0,89892.0,186024.0
3162,524103.0,712651.0,258872.0,257746.0,257892.0,262852.0,566536.0
10000,1515687.0,2244363.0,805912.0,804786.0,804932.0,809892.0,1770024.0
31622,4629255.0,7087691.0,2535672.0,2534546.0,2534692.0,2539652.0,5575496.0
100000,14475687.0,22404363.0,8005912.0,8004786.0,8004932.0,8009892.0,17610024.0
316227,43834439.2,70839211.0,25304072.0,25302946.0,25303092.0,25308052.0,55665976.0
1000000,144075687.0,224004363.0,80005912.0,80004786.0,80004932.0,80009892.0,176010024.0
3162277,455443575.0,708354411.0,252988072.0,252986946.0,252987092.0,252992052.0,556570776.0
10000000,1440075763.8,2240004363.0,800005912.0,800004786.0,800004932.0,800009892.0,1760010107.2
31622776,4553755431.0,7083506187.0,2529827992.0,2529826866.0,2529827012.0,2529831972.0,5565618600.0
100000000,14400075687.0,22400004363.0,8000005912.0,8000004786.0,8000004932.0,8000009892.0,17600010024.0
316227766,45536873991.0,70835023947.0,25298227192.0,25298226066.0,25298226212.0,25298231172.0,55656096840.0
1000000000,144000075690.0,224000004363.0,80000005912.0,80000004786.0,80000004932.0,80000009892.0,176000010024.0
