,pytorch-qr,pytorch-qrcp,pytorch-svd,pytorch-svddc,sklearn-svddc,tf-cod,tf-necd
10,1532.1839080459772,1532.1839080459772,13793.103448275862,1149.4252873563219,1149.4252873563219,765.5172413793103,2298.8505747126437
31,6359.770114942529,6359.770114942529,23448.275862068967,3563.2183908045977,3563.2183908045977,3179.310344827586,4712.64367816092
100,22221.83908045977,22221.83908045977,55172.41379310345,11494.252873563219,11494.252873563219,11110.344827586207,12643.678160919539
316,71877.01149425287,71877.01149425287,154482.75862068965,36321.83908045977,36321.83908045977,35937.93103448276,37471.26436781609
1000,229118.3908045977,229118.3908045977,468965.5172413793,114942.52873563218,114942.52873563218,114558.62068965517,116091.9540229885
3162,726129.8850574712,726129.8850574712,1462988.5057471264,363448.275862069,363448.275862069,363064.3678160919,364597.7011494253
10000,2298083.9080459774,2298083.9080459774,4606896.551724138,1149425.2873563217,1149425.2873563217,1149041.3793103448,1150574.712643678
31622,7268658.620689655,7268658.620689655,14548045.977011494,3634712.643678161,3634712.643678161,3634328.735632184,3635862.068965517
100000,22987739.08045977,22987739.08045977,45986206.89655173,11494252.873563219,11494252.873563219,11493868.965517242,11495402.298850575
316227,72695095.40229885,72695095.40229885,145400919.5402299,36347931.03448276,36347931.03448276,36347547.12643678,36349080.45977011
1000000,229884290.80459768,229884290.80459768,459779310.3448276,114942528.73563218,114942528.73563218,114942144.8275862,114943678.16091955
3162277,726959463.2183908,726959463.2183908,1453929655.1724138,363480114.9425287,363480114.9425287,363479731.0344828,363481264.36781615
10000000,2298849808.045977,2298849808.045977,4597710344.827586,1149425287.3563218,1149425287.3563218,1149424903.4482758,1149426436.781609
31622776,7269602911.494253,7269602911.494253,14539216551.724138,3634801839.08046,3634801839.08046,3634801455.172414,3634802988.505747
100000000,22988504980.45977,22988504980.45977,45977020689.65517,11494252873.563217,11494252873.563217,11494252489.655172,11494254022.988506
316227766,72696037394.25287,72696037394.25287,145392085517.2414,36348019080.45977,36348019080.45977,36348018696.55172,36348020229.885056
1000000000,229885056704.5977,229885056704.5977,459770124137.931,114942528735.63217,114942528735.63217,114942528351.72414,114942529885.05748
