generation biomass,generation fossil brown coal/lignite,generation fossil coal-derived gas,generation fossil gas,generation fossil hard coal,generation fossil oil,generation fossil oil shale,generation fossil peat,generation geothermal,generation hydro pumped storage aggregated,generation hydro pumped storage consumption,generation hydro run-of-river and poundage,generation hydro water reservoir,generation marine,generation nuclear,generation other,generation other renewable,generation solar,generation waste,generation wind offshore,generation wind onshore,forecast solar day ahead,forecast wind offshore eday ahead,forecast wind onshore day ahead,total load forecast,total load actual,price day ahead,price actual
447,329,0,4844,4821,162,0,0,0,,863,1051,1899,0,7096,43,73,49,196,0,6378,17,,6436,26118,25385,50.1,65.41
449,328,0,5196,4755,158,0,0,0,,920,1009,1658,0,7096,43,71,50,195,0,5890,16,,5856,24934,24382,48.1,64.92
448,323,0,4857,4581,157,0,0,0,,1164,973,1371,0,7099,43,73,50,196,0,5461,8,,5454,23515,22734,47.33,64.48
438,254,0,4314,4131,160,0,0,0,,1503,949,779,0,7098,43,75,50,191,0,5238,2,,5151,22642,21286,42.27,59.32
428,187,0,4130,3840,156,0,0,0,,1826,953,720,0,7097,43,74,42,189,0,4935,9,,4861,21785,20264,38.41,56.04
410,178,0,4038,3590,156,0,0,0,,2109,952,743,0,7098,43,74,34,188,0,4618,4,,4617,21441,19905,35.72,53.63
401,172,0,4040,3368,158,0,0,0,,2108,961,848,0,7098,43,74,34,186,0,4397,3,,4276,21285,20010,35.13,51.73
408,172,0,4030,3208,160,0,0,0,,2031,983,1012,0,7099,43,72,35,189,0,3992,12,,3994,21545,20377,36.22,51.43
413,177,0,4052,3335,161,0,0,0,,2119,1001,1015,0,7098,43,73,54,198,0,3629,39,,3602,21443,20094,32.4,48.98
419,177,0,4137,3437,163,0,0,0,,2170,1041,1357,0,7097,43,74,743,198,0,3073,784,,3212,21560,20637,36.6,54.2
422,173,0,4059,3516,167,0,0,0,,2020,1041,1817,0,7096,43,72,2019,204,0,2683,1996,,2617,22824,22250,43.1,58.94
421,226,0,3931,3845,166,0,0,0,,1183,1069,1516,0,7097,42,73,3197,206,0,2771,2990,,2450,23720,23547,45.14,59.86
428,303,0,3784,4220,167,0,0,0,,972,1052,1204,0,7097,41,75,3885,209,0,2906,3842,,2819,24180,24133,45.14,60.12
425,288,0,3754,4404,167,0,0,0,,922,1041,1286,0,7099,40,74,4007,210,0,2923,3812,,2830,24797,24713,47.35,62.05
423,260,0,3779,4256,166,0,0,0,,941,1028,1027,0,7097,40,76,3973,210,0,2945,3699,,2851,25222,24672,47.35,62.06
421,183,0,3708,4038,160,0,0,0,,1069,1023,1151,0,7096,40,76,3818,210,0,2709,3369,,2822,24173,23528,43.61,59.76
422,256,0,3813,4191,163,0,0,0,,970,1032,1156,0,7095,41,75,3088,211,0,2552,2615,,2562,23659,23118,44.91,61.18
426,322,0,3967,4707,165,0,0,0,,798,1036,1626,0,7095,41,75,1467,208,0,2699,1387,,2578,23982,23606,48.1,64.74
427,282,0,4756,4756,164,0,0,0,,1,1094,3203,0,7096,42,74,404,209,0,2764,399,,2824,26981,26447,58.02,74.26
442,303,0,4410,4918,147,0,0,0,,1,1153,5333,0,7096,42,76,139,208,0,2913,100,,2801,28515,28020,61.01,74.24
445,318,0,4324,5025,154,0,0,0,,0,1214,6183,0,7096,43,74,100,210,0,3118,44,,2999,30482,29014,62.69,75.64
443,325,0,4684,5043,154,0,0,0,,0,1220,6231,0,7096,43,74,75,212,0,3373,26,,3185,30739,29571,60.41,73.92
440,322,0,4870,4990,154,0,0,0,,0,1178,5359,0,7098,43,74,74,210,0,3508,13,,3446,29756,29031,58.15,70.53
438,320,0,4685,4942,160,0,0,0,,0,1095,3511,0,7098,43,74,56,209,0,3527,14,,3482,27589,26798,53.6,64.13
368,0,0,3189,1291,193,0,0,0,,1290,1268,3871,0,7106,45,62,54,169,0,13232,5,,13329,27309,27070,10,64.02
368,0,0,2902,1190,192,0,0,0,,1996,1263,2996,0,7106,45,61,54,167,0,12760,35,,12718,25397,24935,7,58.46
358,0,0,2772,1023,189,0,0,0,,2698,1246,2581,0,7107,44,60,54,167,0,12174,43,,12375,23640,23214,5,54.7
353,0,0,2936,1016,188,0,0,0,,3269,1248,2933,0,7107,44,59,53,181,0,11358,32,,11524,22638,22540,4,54.91
354,0,0,2893,1103,189,0,0,0,,3267,1233,2646,0,7106,44,61,53,181,0,11199,31,,11310,22238,22096,4,53.07
354,0,0,2889,1120,190,0,0,0,,3258,1225,2529,0,7105,44,59,63,171,0,11152,26,,11111,22299,22066,4.8,54.23
357,0,0,2898,1167,189,0,0,0,,3256,1241,2658,0,7105,44,60,55,185,0,11169,21,,11303,22660,22275,5,58.22
357,0,0,2938,1067,194,0,0,0,,2987,1247,2706,0,7105,44,60,54,186,0,11205,136,,11297,23449,23025,7.04,67.55
359,0,0,2869,1098,196,0,0,0,,2447,1274,3090,0,7105,44,59,116,183,0,10920,175,,11048,24067,23699,7.04,70.33
357,0,0,3090,1293,193,0,0,0,,1907,1297,3579,0,7107,44,59,1039,188,0,10491,1092,,10711,25737,25834,7.88,71.26
377,0,0,2844,1339,200,0,0,0,,938,1319,4289,0,7107,45,60,2373,185,0,10156,2319,,10379,27883,27927,10.71,75.86
376,0,0,2699,1335,199,0,0,0,,747,1333,4332,0,7106,44,59,3699,181,0,10421,3451,,10423,28969,29072,10,73.65
376,0,0,2606,1336,197,0,0,0,,864,1324,3619,0,7104,44,60,4154,177,0,11230,4005,,10989,28894,29071,7.04,74.19
373,0,0,2662,1341,208,0,0,0,,906,1281,3392,0,7105,44,61,4074,183,0,11920,4120,,11842,29460,29439,7,71.51
383,0,0,2729,1354,195,0,0,0,,1047,1281,3487,0,7105,44,58,3851,190,0,11819,3794,,12078,29389,29241,6.33,71.04
391,0,0,2599,1298,195,0,0,0,,1491,1284,2984,0,7105,44,57,3619,188,0,11961,3479,,11797,28231,27973,5,71.24
395,0,0,2996,1184,195,0,0,0,,1975,1283,3104,0,7106,44,59,3024,188,0,12025,2788,,12061,27716,27320,6.21,70.64
394,0,0,3696,1047,195,0,0,0,,1760,1295,3102,0,7105,44,59,2053,185,0,12077,1786,,12102,27981,27157,9.98,72.85
410,0,0,4760,1178,199,0,0,0,,595,1324,3886,0,7106,44,64,769,178,0,11276,618,,11451,30136,29045,33.15,82.55
435,0,0,6030,1345,205,0,0,0,,78,1352,5553,0,7104,44,68,266,199,0,10510,170,,10619,32754,31967,50,83.33
435,0,0,5973,1354,214,0,0,0,,68,1369,5604,0,7106,44,69,165,203,0,10406,104,,10216,33968,33266,52.01,83.23
437,0,0,6082,1348,215,0,0,0,,68,1370,5902,0,7107,45,69,137,204,0,10445,93,,10470,33870,33668,50.01,79.06
437,0,0,5747,1429,217,0,0,0,,68,1365,5347,0,7107,45,66,137,204,0,9976,92,,10112,32715,32426,45.8,76.2
443,0,0,4177,1432,220,0,0,0,,68,1323,4969,0,7108,45,64,137,203,0,9527,81,,9560,30052,29705,41.74,71.75
478,0,0,3801,1798,246,0,0,0,,502,1423,3719,0,7096,78,76,62,201,0,9264,2,,9313,26323,25564,35.62,66.82
463,0,0,3812,1351,245,0,0,0,,1048,1392,3482,0,7095,78,68,62,198,0,9135,0,,9215,24301,23584,27.1,63.35
452,0,0,3745,1258,244,0,0,0,,1880,1296,3060,0,7096,79,66,61,201,0,9362,0,,9196,22651,22194,25,58.79
454,0,0,3638,1196,244,0,0,0,,2441,1245,2474,0,7098,79,68,61,208,0,9628,2,,9502,21785,21296,20.01,57.44
449,0,0,3515,1138,202,0,0,0,,2767,1221,2266,0,7097,78,67,61,201,0,9607,2,,9617,21418,21145,17.1,55.29
453,0,0,3626,1180,189,0,0,0,,2953,1212,2449,0,7098,79,66,61,188,0,9666,1,,9619,21317,21316,17.22,56.22
458,0,0,3556,1246,188,0,0,0,,2744,1215,2620,0,7099,77,68,61,187,0,9743,1,,9733,21768,21674,20.14,58.13
452,0,0,3524,1175,190,0,0,0,,2279,1295,2559,0,7098,77,67,63,186,0,9401,37,,9455,22276,22127,19.87,62.06
438,0,0,4000,1249,190,0,0,0,,2152,1295,3335,0,7097,77,66,233,186,0,8363,364,,8564,22674,22756,20.22,67.36
433,0,0,4157,1415,226,0,0,0,,1081,1380,4229,0,7097,76,68,820,197,0,7924,1080,,8062,24595,24654,25.22,69.21
419,0,0,3960,1597,249,0,0,0,,341,1421,4827,0,7097,76,68,1665,205,0,7592,2015,,7573,26431,26454,25.13,70.35
431,0,0,3622,1569,250,0,0,0,,325,1424,4429,0,7093,76,71,2488,202,0,7874,2935,,7689,27260,26959,27.1,68.77
425,0,0,3138,1379,247,0,0,0,,409,1417,4309,0,7094,76,64,3218,202,0,8192,3406,,8082,27165,26716,28.71,68.82
427,0,0,3113,1193,249,0,0,0,,1095,1390,3784,0,7095,76,64,3695,208,0,8718,3743,,8571,27449,26802,25,68.23
421,0,0,3114,1155,248,0,0,0,,1750,1285,3709,0,7093,77,64,3780,210,0,9152,3756,,9082,27154,26416,23.68,67.97
410,0,0,2982,1137,206,0,0,0,,2141,1277,3320,0,7092,76,62,3370,202,0,9382,3373,,9168,26011,25362,14.87,62.76
397,0,0,2987,1205,190,0,0,0,,2175,1279,3919,0,7092,76,61,2692,200,0,9307,2724,,9502,25162,24770,11.7,62.03
393,0,0,3169,1289,190,0,0,0,,1936,1302,4256,0,7095,77,59,1931,201,0,8892,1852,,9020,24691,24501,19.52,66.69
418,0,0,3221,1399,218,0,0,0,,1271,1478,4812,0,7094,78,62,1015,212,0,8568,741,,8641,25293,24992,25.13,71.5
458,0,0,3033,1539,243,0,0,0,,129,1544,5753,0,7094,79,66,502,222,0,9005,103,,8863,28421,27964,39.71,72.14
462,0,0,3136,1555,244,0,0,0,,0,1583,5946,0,7096,81,67,355,221,0,9672,111,,9619,30293,29694,44,72.45
462,0,0,3061,1507,245,0,0,0,,0,1572,5985,0,7095,82,69,291,221,0,10081,157,,10158,30828,29874,41.21,72.86
463,0,0,3224,1441,247,0,0,0,,117,1546,5519,0,7094,82,71,207,219,0,10537,136,,10370,29896,28979,35.69,70.1
456,0,0,3529,1291,248,0,0,0,,587,1502,4505,0,7094,83,70,117,217,0,10953,78,,10857,27700,26863,30.23,67.62
391,0,0,3981,2559,323,0,0,0,,1045,1502,1991,0,7086,81,58,692,162,0,8540,584,,8564,25481,25254,24.65,55.22
351,0,0,3997,2755,310,0,0,0,,1257,1494,1867,0,7087,81,58,684,160,0,8080,640,,8335,23734,23620,20.2,50.54
350,0,0,3787,2678,306,0,0,0,,1629,1484,1414,0,7086,81,57,648,161,0,7773,551,,7816,22658,22606,19.16,48.68
366,0,0,3724,2426,311,0,0,0,,1962,1472,1355,0,7086,82,56,640,162,0,7601,508,,7802,22130,22191,21.9,48.02
377,0,0,3578,2046,310,0,0,0,,2185,1438,1431,0,7087,82,56,563,161,0,7584,445,,7570,21879,21929,14.9,47.06
372,0,0,3676,2248,310,0,0,0,,1795,1457,1534,0,7086,82,58,372,157,0,7812,288,,7595,22230,22195,24.65,46.79
377,0,0,3702,2148,320,0,0,0,,1341,1352,2284,0,7085,82,54,179,155,0,7950,134,,7913,23903,24035,28.01,47.63
396,0,0,3569,2100,325,0,0,0,,378,1433,3188,0,7086,82,56,129,156,0,8228,33,,8239,26742,26807,27.51,47.44
415,0,0,3314,2143,359,0,0,0,,0,1561,3521,0,7080,83,53,357,156,0,8341,379,,8275,28481,28316,33.96,50.84
418,0,0,3183,2244,368,0,0,0,,0,1573,4286,0,7080,84,54,1634,159,0,8569,1381,,8320,29705,29871,38,54.84
402,0,0,3168,2209,370,0,0,0,,17,1451,3921,0,7079,85,55,3830,162,0,8433,3378,,8529,30656,30585,37.17,59.95
411,0,0,3207,2303,371,0,0,0,,119,1519,4023,0,7083,84,60,4937,161,0,8001,4727,,8199,30717,30772,35.01,59.35
403,0,0,3279,2307,371,0,0,0,,72,1533,3997,0,7085,85,57,5302,165,0,7520,5221,,7698,30616,30685,38,57.03
407,0,0,3295,2353,362,0,0,0,,69,1591,3760,0,7087,86,58,5590,158,0,7274,5765,,7274,30287,30429,38.12,59.22
393,0,0,3141,2324,369,0,0,0,,69,1529,3077,0,7085,85,60,5668,150,0,6878,5661,,7008,29451,28741,30.4,58.56
400,0,0,3118,2164,365,0,0,0,,69,1495,2602,0,7083,85,59,5593,149,0,7517,5540,,7263,28730,28249,27.58,52.07
397,0,0,3131,2049,374,0,0,0,,112,1459,2553,0,7080,85,57,5316,147,0,7999,5319,,7886,28393,28105,27.56,52.15
393,0,0,3303,2104,383,0,0,0,,251,1435,2925,0,7079,87,59,4907,152,0,8181,4766,,8191,28062,27908,27.5,61.12
402,0,0,3368,2098,381,0,0,0,,506,1435,3446,0,7078,84,61,4200,153,0,8260,3965,,8321,27317,27577,26.53,71.98
409,0,0,3434,2075,383,0,0,0,,789,1458,4365,0,7080,84,59,2911,150,0,8156,2680,,8296,27189,27418,30,74.64
438,0,0,3604,2162,385,0,0,0,,416,1538,5936,0,7082,85,59,1392,170,0,8347,1189,,8158,28914,28604,39.7,75.38
436,0,0,3874,2445,389,0,0,0,,0,1616,5856,0,7084,85,57,748,177,0,8875,750,,8677,30333,30346,40.48,76.49
424,0,0,3447,2169,394,0,0,0,,0,1594,4684,0,7085,85,59,696,174,0,8922,643,,9036,28341,28190,37.97,73.83
403,0,0,3390,1770,391,0,0,0,,79,1467,3776,0,7088,84,59,672,166,0,8735,647,,8826,26412,26270,28,69.51
373,326,0,5338,4247,352,0,0,0,,650,1182,2086,0,4036,41,72,691,158,0,7351,399,,7321,25149,25069,43.49,70.77
363,104,0,5352,3112,310,0,0,0,,938,1099,2458,0,4029,41,74,668,153,0,7403,588,,7474,23630,23390,35.5,64.89
359,0,0,4791,2580,311,0,0,0,,1021,1076,2140,0,4028,38,75,662,156,0,7887,566,,7731,22590,21988,35.2,60.91
,,,,,,,,,,,,,,,,,,,,,546,,8233,21912,21182,35.2,59.68
334,0,0,4390,2573,308,0,0,0,,2067,982,2531,0,4030,38,71,570,155,0,8348,386,,8397,21369,20778,30.6,58.04
338,0,0,4108,2551,300,0,0,0,,2228,969,2439,0,4031,38,72,428,153,0,8526,277,,8437,20723,20309,30.6,59.57
341,0,0,4396,2351,291,0,0,0,,2365,967,2583,0,4031,38,73,243,152,0,8518,161,,8660,20498,20252,30.6,69.73
343,0,0,4227,2202,301,0,0,0,,2321,1087,2740,0,4031,39,74,155,143,0,8263,195,,8285,19736,19964,30,72.97
345,0,0,4017,2138,317,0,0,0,,2071,1110,2480,0,4030,38,74,500,143,0,8326,685,,8286,19970,20796,30.6,77.92
369,0,0,4243,2239,331,0,0,0,,1465,1168,2575,0,4028,38,76,1333,140,0,8046,1669,,8122,21590,22478,35.3,79.59
374,0,0,3993,2545,337,0,0,0,,1216,1207,2286,0,4011,37,74,2482,140,0,8439,3011,,8214,22987,23834,35.2,81.75
376,0,0,3900,2422,333,0,0,0,,1166,1206,2209,0,3829,37,74,3339,155,0,9131,3344,,8921,23271,24429,35.4,80.82
,,,,,,,,,,,,,,,,,,,,,3932,,9258,23209,,35.5,79.14
,,,,,,,,,,,,,,,,,,,,,4236,,9156,23725,,36.8,73.95
,,,,,,,,,,,,,,,,,,,,,4215,,9072,23614,,32.5,71.93
,,,,,,,,,,,,,,,,,,,,,4050,,8779,22381,,30,71.5
,,,,,,,,,,,,,,,,,,,,,3728,,8426,21371,,30,71.85
,,,,,,,,,,,,,,,,,,,,,3175,,7946,20760,,30.6,80.53
370,0,0,4003,2217,336,0,0,0,,1242,1219,2156,0,3712,42,71,2944,148,0,7431,2658,,7617,20654,21888,42.01,89.08
375,0,0,4181,2541,333,0,0,0,,651,1260,1843,0,3743,42,75,1971,147,0,6570,1764,,6837,20904,22048,51.4,90.97
371,0,0,4607,2509,334,0,0,0,,108,1308,2291,0,3773,43,73,958,153,0,5549,946,,5836,22334,22858,55.35,88.51
370,0,0,5329,2804,326,0,0,0,,0,1328,3732,0,3803,42,74,605,161,0,4979,483,,5054,25504,25604,62,82.85
362,0,0,5682,2891,334,0,0,0,,45,1328,3613,0,3834,43,75,518,161,0,4822,324,,4869,25938,25381,60.01,80.52
370,0,0,5699,2958,328,0,0,0,,193,1318,3044,0,3868,45,72,394,158,0,4982,347,,4890,23892,23822,57.6,72.18
535,851,0,4359,5130,257,0,0,0,,99,767,1218,0,4826,85,66,626,212,0,4052,544,,4104,24086,23711,53.01,71.48
532,742,0,4502,4990,258,0,0,0,,693,737,1620,0,4828,85,63,624,208,0,3832,513,,3889,22554,22354,45.65,64.76
530,829,0,4393,5207,266,0,0,0,,1000,728,1862,0,4830,86,63,616,204,0,3398,466,,3514,21566,21546,44.04,60.22
