,tf-cod,pytorch-qrcp,pytorch-qr,pytorch-svd,pytorch-svddc,sklearn-svddc,mxnet-svddc
0,160631868.63425806,206082916.053855,160647642.02094305,162709004.37094653,162709004.41453004,160631868.63203174,160631874.30067235
1,70330910.47754401,154460964.99440032,70330040.8704508,72157372.50279297,72157373.20194075,70330910.47739165,70330911.90768242
2,188717425.66406003,259598485.56877062,188719911.74341398,191461857.60525206,191461858.23405424,188717425.67660522,188717198.26714683
3,81579206.96093239,156622761.21565524,81582220.91829617,83208816.4341174,83208816.7642551,81579206.96122457,81579219.11764984
4,161002849.42465743,270681044.3424916,161001139.5089799,162527984.23686674,162527983.99353245,161002849.42542434,161002405.77016428
5,143847769.26058477,237969428.99365562,143845979.6710888,145802886.65363732,145802886.66219985,143847769.26411194,143847789.15262344
6,74088504.89365181,328229968.286465,74090565.49416001,77864677.10843314,77864677.38659339,74088504.89342795,74088527.71923642
7,329022652.90071356,380800996.0664512,329035556.8930904,330991049.1591792,330991048.8252999,329022652.9008659,329022473.32468426
8,74398264.1274246,493778498.943138,34909264856.672005,61785620.43987591,61785621.64534575,8.075170661085792e+18,74398264.00408493
9,57357264.60769438,337399601.7708446,57358871.82278768,59145505.84463042,59145507.28740415,57357264.6014054,57357203.70202212
